Robot,Fish,Desired,Distances
"0.15639305114746094,0.07395426829268292,0.19282317073170732,-1.3971696837910228",,,
,"0.15639305114746094,-0.042463267070008644,0.21540425531914897,0",,
,,,0.1185873008423276
,,"0.15639305114746094,0.05781965255737305,0.08,0.0",
"0.47752809524536133,0.15991158536585365,0.19669512195121952,-1.9473379669722246",,,
,,"0.47752809524536133,0.07387640476226807,0.08,0.0",
"0.7551131248474121,0.16920426829268292,0.19359756097560976,-1.9217958518111777",,,
,,"0.7551131248474121,0.08723861249287924,0.08,0.0",
"1.0486059188842773,0.09447560975609756,0.1862408536585366,-1.2846098776529902",,,
,,"1.0486059188842773,0.10143029594421388,0.08,0.0",
"1.346437931060791,0.10841463414634148,0.17888414634146343,-1.2262576950151556",,,
,,"1.346437931060791,0.11632189655303955,0.08,0.0",
"1.642625093460083,0.2025030487804878,0.1784969512195122,-1.6598053694367139",,,
,"1.642625093460083,-0.09950734658599827,0.2162553191489362,0",,
,,,0.3043615830851768
,,"1.642625093460083,0.13113125467300416,0.08,0.0",
"1.9416780471801758,0.10415548780487804,0.17810975609756097,-1.2241398913780153",,,
,,"1.9416780471801758,0.14608390235900878,0.08,0.0",
"2.23860502243042,0.14326219512195124,0.34266768292682925,-3.105608193507742",,,
,,"2.23860502243042,0.160930251121521,0.08,0.0",
"2.599526882171631,0.11809451219512196,0.17501219512195124,1.9556851459704683",,,
,"2.599526882171631,-0.09950734658599827,0.2162553191489362,0",,
,,,0.2214758772970633
,,"2.599526882171631,0.17831125450134278,0.08,0.0",
"2.898003101348877,0.15603963414634148,0.3477012195121951,-3.0895949577656507",,,
,,"2.898003101348877,0.19290015506744385,0.08,0.0",
"3.227250099182129,0.1390030487804878,0.17578658536585368,2.0565194659163026",,,
,,"3.227250099182129,0.20936250495910644,0.08,0.0",
"3.524801015853882,0.1386158536585366,0.3434420731707317,-3.1198569467480004",,,
,,"3.524801015853882,0.2242400507926941,0.08,0.0",
"3.8215129375457764,0.146359756097561,0.18469207317073172,2.1086951266066563",,,
,,"3.8215129375457764,0.2390756468772888,0.08,0.0",
"4.1198201179504395,0.16571951219512196,0.17385060975609756,2.1725911591792975",,,
,,"4.1198201179504395,0.2532582721710205,0.08,0.0",
"4.416593074798584,0.1699786585365854,0.17539939024390244,-0.9404771286397371",,,
,"4.416593074798584,-0.09777873811581678,0.2162553191489362,0",,
,,,0.2708564756264192
,,"4.416593074798584,0.26782965373992923,0.08,0.0",
"4.7115771770477295,0.25864634146341464,0.17927134146341464,-1.3361209866931378",,,
,"4.7115771770477295,-0.06147796024200519,0.18817021276595747,0",,
,,,0.3202479640104553
,,"4.7115771770477295,0.2825788588523865,0.08,0.0",
"4.977124929428101,0.17772256097560976,0.17656097560975612,-0.9108971352193207",,,
,,"4.977124929428101,0.295856246471405,0.08,0.0",
"5.274030923843384,0.17888414634146343,0.17733536585365853,-0.9006742893684003",,,
,,"5.274030923843384,0.31070154619216916,0.08,0.0",
"5.571805000305176,0.3093689024390244,0.03600914634146342,-1.4141944498128818",,,
,"5.571805000305176,-0.01048401037165083,0.21285106382978725,0",,
,,,0.3654845408692692
,,"5.571805000305176,0.3250175666809082,0.08,0.0",
"5.867783069610596,0.273359756097561,0.18120731707317075,-1.3148531907902146",,,
,"5.867783069610596,-0.06147796024200519,0.1890212765957447,0",,
,,,0.33492887938623067
,,"5.867783069610596,0.3393891534805298,0.08,0.0",
