Robot,Fish,Desired,Distances
"0.1600959300994873,-0.012809853068280032,0.011680851063829791,-0.2479915804363545","0.1600959300994873,0.5001547104580812,0.30317021276595746,0","0.1600959300994873,0.05800474882125855,0.08,0.0",0.5899988910322664
"0.6071298122406006,-0.013242005185825408,0.01210638297872341,-0.21542256187961079","0.6071298122406006,0.5001547104580812,0.30317021276595746,0","0.6071298122406006,0.0803326800664266,0.08,0.0",0.5901646724807935
"0.9351439476013184,0.006636992221261885,0.02019148936170213,0.028953108493534586","0.9351439476013184,0.5001547104580812,0.30317021276595746,0","0.9351439476013184,0.0957571496963501,0.08,0.0",0.5688907593845928
"1.2679040431976318,0.02954105445116681,0.04487234042553192,0.4694385933401893","1.2679040431976318,0.5001547104580812,0.30317021276595746,0","1.2679040431976318,0.11239515447616577,0.08,0.0",0.5368379681764184
"1.5939040184020996,0.04509853068280035,0.06997872340425532,0.6301818068312423","1.5939040184020996,0.5001547104580812,0.30317021276595746,0","1.5939040184020996,0.12869515323638916,0.08,0.0",0.5113261165463795
"1.9200630187988281,0.05417372515125324,0.08657446808510638,0.646643744700569","1.9200630187988281,0.5001547104580812,0.30317021276595746,0","1.9200630187988281,0.1450031032562256,0.08,0.0",0.495795074470392
"2.2523159980773926,0.0692990492653414,0.0997659574468085,0.5193885177016405","2.2523159980773926,0.5001547104580812,0.30317021276595746,0","2.2523159980773926,0.1616157522201538,0.08,0.0",0.4764555507744353
"2.614398956298828,0.09220311149524633,0.10699999999999998,0.22911865019935285","2.614398956298828,0.5001547104580812,0.30317021276595746,0","2.614398956298828,0.1790052401224772,0.08,0.0",0.4526668305420386
"2.942301034927368,0.1164036300777874,0.10827659574468085,0.0","2.942301034927368,0.5001547104580812,0.30317021276595746,0","2.942301034927368,0.19511500406265259,0.08,0.0",0.4304049414779978
"3.2745718955993652,0.1393076923076923,0.10402127659574466,-0.22138098156764519","3.2745718955993652,0.5001547104580812,0.30317021276595746,0","3.2745718955993652,0.21172854709625244,0.08,0.0",0.4121539388211092
"3.601761817932129,0.15789023336214347,0.09848936170212765,-0.3600812531686202","3.601761817932129,0.5001547104580812,0.30317021276595746,0","3.601761817932129,0.22808804321289064,0.08,0.0",0.3987972204942875
"3.9363510608673096,0.17820138288677617,0.09082978723404254,-0.4208414676902569","3.9363510608673096,0.5001547104580812,0.30317021276595746,0","3.9363510608673096,0.244696338335673,0.08,0.0",0.3856713645700322
"4.263391017913818,0.1954874675885912,0.08657446808510637,-0.4427183292622057","4.263391017913818,0.5001547104580812,0.30317021276595746,0","4.263391017913818,0.2601695032119751,0.08,0.0",0.3738125807026153
"4.592679023742676,0.20974848746758862,0.08529787234042552,-0.31714779112851027","4.592679023742676,0.5001547104580812,0.30317021276595746,0","4.592679023742676,0.276633903503418,0.08,0.0",0.3630483866843407
"4.9271509647369385,0.22357735522904065,0.08657446808510638,-0.21215743885400964","4.9271509647369385,0.5001547104580812,0.30317021276595746,0","4.9271509647369385,0.2933575005531311,0.08,0.0",0.3512958155733474
"5.254917860031128,0.2421598962834918,0.0899787234042553,-0.13975171974928863","5.254917860031128,0.5001547104580812,0.30317021276595746,0","5.254917860031128,0.30974584531784055,0.08,0.0",0.3346818418696206
"5.581782102584839,0.2581495246326707,0.09380851063829786,-0.054650020283419934","5.581782102584839,0.5001547104580812,0.30317021276595746,0","5.581782102584839,0.32548312028249105,0.08,0.0",0.3199981754388333
"5.916466951370239,0.27154624027657737,0.0972127659574468,-0.0634425417657382","5.916466951370239,0.5001547104580812,0.30317021276595746,0","5.916466951370239,0.34182329988479615,0.08,0.0",0.307701645323206
"6.246634006500244,0.28796802074330163,0.09806382978723403,-0.11206347983655573","6.246634006500244,0.5001547104580812,0.30317021276595746,0","6.246634006500244,0.3583316526412964,0.08,0.0",0.2951132318801224
"6.577617883682251,0.3056862575626621,0.09806382978723402,2.9873516289410684","6.577617883682251,0.5001547104580812,0.30317021276595746,0","6.577617883682251,0.37488084650039677,0.08,0.0",0.2826421898976737
"6.905846834182739,0.32297234226447713,0.09636170212765956,2.926170091710182","6.905846834182739,0.5001547104580812,0.30231914893617023,0","6.905846834182739,0.3912922940254212,0.08,0.0",0.2716837527246971
"7.231238842010498,0.0,0.0,0.0","7.231238842010498,0.5001547104580812,0.30317021276595746,0","7.231238842010498,0.4074577681223552,0.08,0.0",0.5848648667016706
"7.572242975234985,0.3143292999135696,0.14019148936170212,1.6932780243338525","7.572242975234985,0.5001547104580812,0.30231914893617023,0","7.572242975234985,0.42361210107803343,0.08,0.0",0.2466099373568123
"7.89470911026001,0.25426015557476234,0.15678723404255318,2.465431045069163","7.89470911026001,0.5001547104580812,0.30317021276595746,0","7.89470911026001,0.4397354078292847,0.08,0.0",0.2861679726685049
"8.224129915237427,0.19159809853068283,0.22657446808510637,-1.244385813032928","8.224129915237427,0.5001547104580812,0.30317021276595746,0","8.224129915237427,0.45,0.08,0.0",0.31792151683604125
